Date,Stock,Factor 1,Factor 2,Factor 3,Factor 4
2022-09-29,SIEMENS.NS,Green Histogram,Price Below 200 EMA,MACD Expanding Below,EMA Decreasing
2022-09-29,CIPLA.NS,Red Histogram,Price Above 200 EMA,MACD Parallel Above,EMA Increasing
2022-09-29,SBICARD.NS,Green Histogram,Price Below 200 EMA,MACD Expanding Below,EMA Decreasing
2022-09-29,NYKAA.NS,Red Histogram,Price Below 200 EMA,MACD Intersecting Above,EMA Decreasing
2022-09-29,SRF.NS,Green Histogram,Price Below 200 EMA,MACD Expanding Below,EMA Decreasing
2022-09-29,BPCL.NS,Red Histogram,Price Below 200 EMA,MACD Intersecting Below,EMA Decreasing
2022-09-29,INDIGO.NS,Red Histogram,Price Below 200 EMA,MACD Parallel Below,EMA Decreasing
2022-09-29,BRITANNIA.NS,Green Histogram,Price Above 200 EMA,MACD Parallel Above,EMA Increasing
2022-09-29,GODREJCP.NS,Red Histogram,Price Above 200 EMA,MACD Intersecting Above,EMA Increasing
2022-09-29,TATAPOWER.NS,Green Histogram,Price Below 200 EMA,MACD Expanding Below,EMA Decreasing
2022-09-29,INDUSINDBK.NS,Green Histogram,Price Below 200 EMA,MACD Parallel Below,EMA Decreasing
2022-09-29,HAVELLS.NS,Green Histogram,Price Above 200 EMA,MACD Expanding Above,EMA Increasing
2022-09-29,ICICIPRULI.NS,Green Histogram,Price Below 200 EMA,MACD Expanding Below,EMA Decreasing
2022-09-29,TATACONSUM.NS,Red Histogram,Price Below 200 EMA,MACD Parallel Below,EMA Decreasing
2022-09-29,DRREDDY.NS,Red Histogram,Price Above 200 EMA,MACD Expanding Above,EMA Increasing
2022-09-29,ADANIPOWER.NS,Red Histogram,Price Below 200 EMA,MACD Parallel Below,EMA Decreasing
2022-09-29,MINDTREE.NS,Red Histogram,Price Below 200 EMA,MACD Intersecting Below,EMA Decreasing
2022-09-29,GAIL.NS,Red Histogram,Price Below 200 EMA,MACD Parallel Below,EMA Decreasing
2022-09-29,BERGEPAINT.NS,Green Histogram,Price Below 200 EMA,MACD Parallel Below,EMA Decreasing
2022-09-29,EICHERMOT.NS,Red Histogram,Price Above 200 EMA,MACD Parallel Above,EMA Increasing
2022-09-29,AWL.NS,Green Histogram,Price Below 200 EMA,MACD Expanding Below,EMA Decreasing
2022-09-29,ICICIGI.NS,Green Histogram,Price Below 200 EMA,MACD Parallel Below,EMA Decreasing
2022-09-29,MARICO.NS,Green Histogram,Price Above 200 EMA,MACD Expanding Below,EMA Increasing
2022-09-29,APOLLOHOSP.NS,Red Histogram,Price Above 200 EMA,MACD Parallel Above,EMA Increasing
2022-09-29,ZOMATO.NS,Green Histogram,Price Above 200 EMA,MACD Expanding Above,EMA Increasing
2022-09-29,MCDOWELL-N.NS,Green Histogram,Price Below 200 EMA,MACD Expanding Below,EMA Decreasing
2022-09-29,MPHASIS.NS,Red Histogram,Price Above 200 EMA,MACD Parallel Above,EMA Decreasing
2022-09-29,IRCTC.NS,Green Histogram,Price Above 200 EMA,MACD Expanding Above,EMA Increasing
2022-09-29,INDUSTOWER.NS,Red Histogram,Price Below 200 EMA,MACD Intersecting Below,EMA Decreasing
2022-09-29,AMBUJACEM.NS,Green Histogram,Price Below 200 EMA,MACD Parallel Below,EMA Decreasing
2022-09-29,CHOLAFIN.NS,Green Histogram,Price Below 200 EMA,MACD Expanding Below,EMA Decreasing
2022-09-29,UPL.NS,Red Histogram,Price Below 200 EMA,MACD Intersecting Below,EMA Decreasing
2022-09-29,NAUKRI.NS,Green Histogram,Price Below 200 EMA,MACD Expanding Below,EMA Decreasing
2022-09-29,BANKBARODA.NS,Green Histogram,Price Below 200 EMA,MACD Parallel Below,EMA Decreasing
2022-09-29,BAJAJHLDNG.NS,Red Histogram,Price Below 200 EMA,MACD Expanding Below,EMA Decreasing
2022-09-29,TATAELXSI.NS,Green Histogram,Price Below 200 EMA,MACD Parallel Below,EMA Decreasing
2022-09-29,JINDALSTEL.NS,Red Histogram,Price Above 200 EMA,MACD Parallel Above,EMA Increasing
2022-09-29,LODHA.NS,Green Histogram,Price Below 200 EMA,MACD Parallel Below,EMA Decreasing
